id,region_id,name_en,name_cy,example_postcode,population,boundary
"W09000001","W10000001","Ynys Môn","Ynys Môn","LL653DX",70043,"SRID=4326;POLYGON((-4.6314 53.3078,-4.6209 53.3126,-4.6204 53.3123,-4.6112 53.3028,-4.585 53.3012,-4.5835 53.2904,-4.5788 53.289,-4.5748 53.2879,-4.5721 53.2892,-4.5297 53.3095,-4.5631 53.2994,-4.5624 53.3167,-4.5792 53.3241,-4.5822 53.327,-4.5778 53.3345,-4.5712 53.3375,-4.5612 53.3631,-4.5551 53.3737,-4.5741 53.4035,-4.5646 53.4042,-4.5298 53.406,-4.5108 53.4165,-4.5101 53.4155,-4.5095 53.4094,-4.5057 53.4098,-4.5053 53.4092,-4.5038 53.41,-4.4919 53.4112,-4.4781 53.4222,-4.4502 53.4129,-4.4504 53.416,-4.4503 53.423,-4.4315 53.4283,-4.425 53.4299,-4.4094 53.4236,-4.4026 53.4209,-4.3682 53.424,-4.3564 53.4142,-4.3388 53.4196,-4.3344 53.4133,-4.3266 53.4176,-4.3052 53.4138,-4.293 53.4111,-4.29 53.4142,-4.2872 53.4169,-4.2694 53.3905,-4.2957 53.3646,-4.2763 53.371,-4.28 53.3761,-4.2648 53.3608,-4.2301 53.3577,-4.2338 53.3406,-4.2191 53.319,-4.2043 53.3138,-4.2145 53.2988,-4.2108 53.2964,-4.2041 53.2922,-4.1821 53.297,-4.1433 53.3053,-4.1197 53.3192,-4.1031 53.3174,-4.0402 53.3106,-4.0524 53.2993,-4.1 53.2553,-4.1007 53.2547,-4.1592 53.2339,-4.1626 53.2237,-4.1708 53.2251,-4.2028 53.2157,-4.204 53.2134,-4.205 53.2131,-4.2127 53.1967,-4.2185 53.1856,-4.3177 53.1441,-4.3186 53.15,-4.3344 53.1489,-4.3309 53.1656,-4.3401 53.1486,-4.3362 53.1475,-4.3376 53.1428,-4.355 53.1344,-4.3289 53.1266,-4.3937 53.1436,-4.3949 53.144,-4.3957 53.1443,-4.3959 53.1442,-4.3987 53.145,-4.4135 53.1363,-4.41 53.1415,-4.4076 53.1443,-4.4198 53.1638,-4.395 53.1686,-4.3896 53.1697,-4.3851 53.1913,-4.385 53.1916,-4.3961 53.1881,-4.3969 53.1879,-4.4435 53.155,-4.4436 53.155,-4.4661 53.1834,-4.4601 53.1946,-4.4668 53.1842,-4.4667 53.1822,-4.4864 53.1772,-4.4878 53.1839,-4.4875 53.1851,-4.488 53.1852,-4.4883 53.1866,-4.5042 53.1871,-4.4973 53.2072,-4.5239 53.2265,-4.5235 53.2319,-4.5218 53.232,-4.5127 53.2386,-4.5232 53.2376,-4.5235 53.2326,-4.5359 53.237,-4.5555 53.2497,-4.5757 53.2725,-4.5727 53.2616,-4.5567 53.2457,-4.5674 53.2439,-4.597 53.2404,-4.6007 53.2416,-4.6105 53.2454,-4.6123 53.2483,-4.6085 53.2559,-4.6256 53.2693,-4.6173 53.2791,-4.65 53.2875,-4.6516 53.2879,-4.6527 53.2874,-4.6558 53.2861,-4.6777 53.2828,-4.6828 53.2835,-4.6802 53.2943,-4.6777 53.2983,-4.6967 53.3074,-4.6958 53.3083,-4.6833 53.3132,-4.6815 53.3225,-4.6619 53.3189,-4.6236 53.3296,-4.6473 53.3208,-4.644 53.3204,-4.6482 53.3186,-4.6277 53.3144,-4.6253 53.3181,-4.6314 53.3078))"
"W09000002","W10000001","Arfon","Arfon","LL552LY",62829,"SRID=4326;POLYGON((-3.9793 53.2319,-3.9353 53.2149,-3.939 53.2001,-3.965 53.1834,-3.9703 53.1602,-4.0079 53.1438,-4.0201 53.1248,-3.9955 53.125,-4.021 53.1246,-4.0313 53.1056,-4.014 53.1035,-4.0136 53.0897,-4.0292 53.0756,-4.0783 53.0742,-4.0791 53.0438,-4.0981 53.0337,-4.1598 53.0308,-4.171 53.04,-4.1856 53.0395,-4.229 53.0175,-4.2603 53.0285,-4.2857 53.0093,-4.2938 53.0429,-4.3194 53.0412,-4.3221 53.0653,-4.3407 53.067,-4.3408 53.0675,-4.3364 53.0791,-4.3465 53.114,-4.3466 53.1143,-4.3389 53.1214,-4.3244 53.1216,-4.3241 53.1217,-4.3196 53.1215,-4.3332 53.1143,-4.3338 53.114,-4.3193 53.0928,-4.3058 53.1079,-4.3138 53.1066,-4.313 53.1147,-4.3119 53.1271,-4.3057 53.1298,-4.2831 53.1395,-4.2736 53.1328,-4.2774 53.1427,-4.2638 53.1544,-4.2436 53.1704,-4.2121 53.1832,-4.2114 53.1847,-4.2103 53.1851,-4.2102 53.1871,-4.1993 53.21,-4.1856 53.2148,-4.1609 53.2199,-4.1429 53.2298,-4.1224 53.2371,-4.1145 53.2314,-4.1132 53.2369,-4.1063 53.2323,-4.099 53.2344,-4.0911 53.2367,-4.0856 53.2256,-4.0074 53.2469,-4.0073 53.2468,-3.9982 53.2484,-3.9793 53.2319))"
"W09000003","W10000001","Aberconwy","Aberconwy","LL309FZ",59177,"SRID=4326;POLYGON((-3.776 53.2861,-3.7542 53.2756,-3.7579 53.2551,-3.7391 53.2442,-3.7427 53.1903,-3.7298 53.1623,-3.7414 53.1582,-3.7353 53.1491,-3.7166 53.1471,-3.7016 53.1028,-3.721 53.0558,-3.7175 53.0478,-3.6919 53.0453,-3.6982 53.0296,-3.6698 53.0193,-3.6886 52.995,-3.683 52.9869,-3.7207 52.9839,-3.7704 52.959,-3.8197 52.9504,-3.8494 52.9773,-3.8966 52.9949,-3.8878 53.0116,-3.8989 53.0206,-3.9633 53.0108,-3.9916 53.014,-3.9972 53.0376,-3.9771 53.0689,-3.9913 53.0765,-3.9867 53.0842,-4.0136 53.0897,-4.014 53.1035,-4.0313 53.1056,-4.021 53.1246,-3.9955 53.125,-4.0201 53.1248,-4.0079 53.1438,-3.9703 53.1602,-3.965 53.1834,-3.939 53.2001,-3.9353 53.2149,-3.9793 53.2319,-3.9982 53.2484,-4.0073 53.2468,-4.0074 53.2469,-3.9835 53.2595,-3.8459 53.2944,-3.8263 53.2814,-3.8262 53.283,-3.8229 53.2804,-3.8261 53.286,-3.8258 53.2908,-3.8304 53.2937,-3.8355 53.3028,-3.8445 53.319,-3.8753 53.3373,-3.873 53.3393,-3.833 53.338,-3.8317 53.3366,-3.8216 53.3245,-3.8205 53.3246,-3.8188 53.3228,-3.8031 53.3248,-3.7759 53.3282,-3.7742 53.3274,-3.7649 53.3188,-3.7551 53.317,-3.776 53.2861))"
"W09000004","W10000001","Clwyd West","Gorllewin Clwyd","CH74TB",73508,"SRID=4326;POLYGON((-3.4965 53.3023,-3.5219 53.2834,-3.5183 53.2564,-3.5331 53.2489,-3.526 53.2403,-3.5097 53.2418,-3.466 53.2208,-3.4745 53.1764,-3.4612 53.1641,-3.43 53.1576,-3.4203 53.167,-3.4076 53.1636,-3.3619 53.1822,-3.3668 53.168,-3.3556 53.1532,-3.3909 53.1279,-3.3836 53.1152,-3.3487 53.1228,-3.3448 53.1136,-3.325 53.1172,-3.3287 53.1254,-3.3092 53.131,-3.333 53.1549,-3.3033 53.1689,-3.3093 53.1762,-3.2782 53.182,-3.2712 53.1575,-3.2442 53.1523,-3.2082 53.1598,-3.1823 53.154,-3.1725 53.1109,-3.1459 53.1039,-3.1518 53.0929,-3.1296 53.0724,-3.1478 53.0438,-3.1323 53.0211,-3.193 53.0251,-3.289 52.9948,-3.3024 53.0077,-3.3354 53.002,-3.3362 53.0113,-3.3791 52.9944,-3.3987 53.0031,-3.4246 53.0031,-3.4513 52.9934,-3.455 52.9975,-3.458 52.9849,-3.5045 52.9653,-3.5338 52.9737,-3.583 52.9675,-3.6108 52.996,-3.5995 53.0099,-3.6068 53.0121,-3.6729 52.997,-3.683 52.9869,-3.6886 52.995,-3.6698 53.0193,-3.6982 53.0296,-3.6919 53.0453,-3.7175 53.0478,-3.721 53.0558,-3.7016 53.1028,-3.7166 53.1471,-3.7353 53.1491,-3.7414 53.1582,-3.7298 53.1623,-3.7427 53.1903,-3.7391 53.2442,-3.7579 53.2551,-3.7542 53.2756,-3.776 53.2861,-3.7551 53.317,-3.7391 53.3141,-3.7341 53.3043,-3.7321 53.3003,-3.7069 53.2937,-3.6058 53.2908,-3.5475 53.3069,-3.5114 53.3168,-3.5086 53.3135,-3.5062 53.3107,-3.5052 53.3135,-3.4965 53.3023))"
"W09000005","W10000001","Vale of Clwyd","Dyffryn Clwyd","LL181RL",72505,"SRID=4326;POLYGON((-3.3093 53.1762,-3.3033 53.1689,-3.333 53.1549,-3.3092 53.131,-3.3287 53.1254,-3.325 53.1172,-3.3448 53.1136,-3.3487 53.1228,-3.3836 53.1152,-3.3909 53.1279,-3.3556 53.1532,-3.3668 53.168,-3.3619 53.1822,-3.4076 53.1636,-3.4203 53.167,-3.43 53.1576,-3.4612 53.1641,-3.4745 53.1764,-3.466 53.2208,-3.5097 53.2418,-3.526 53.2403,-3.5331 53.2489,-3.5183 53.2564,-3.5219 53.2834,-3.4965 53.3023,-3.5052 53.3135,-3.5039 53.3172,-3.5037 53.3175,-3.5026 53.318,-3.4806 53.3284,-3.3667 53.3514,-3.3682 53.3352,-3.3883 53.3232,-3.3935 53.327,-3.4005 53.3136,-3.3813 53.3158,-3.3943 53.3017,-3.3751 53.2916,-3.356 53.2973,-3.357 53.2839,-3.3296 53.2734,-3.3618 53.2531,-3.3338 53.2366,-3.3044 53.2329,-3.3224 53.2204,-3.3176 53.2105,-3.3042 53.208,-3.311 53.2007,-3.2782 53.182,-3.3093 53.1762))"
"W09000006","W10000001","Delyn","Delyn","CH71UQ",70093,"SRID=4326;MULTIPOLYGON(((-3.2732 53.3206,-3.2646 53.3247,-3.2597 53.3185,-3.2595 53.3191,-3.2583 53.3145,-3.247 53.3104,-3.2017 53.2938,-3.2012 53.2936,-3.109 53.2409,-3.0856 53.2334,-3.1008 53.2214,-3.1016 53.2126,-3.0788 53.2008,-3.1037 53.1817,-3.094 53.1776,-3.1029 53.1704,-3.0853 53.1526,-3.0566 53.147,-3.0629 53.1391,-3.0512 53.1282,-3.08 53.1348,-3.0921 53.126,-3.133 53.1313,-3.1467 53.115,-3.1725 53.1109,-3.1823 53.154,-3.2082 53.1598,-3.2442 53.1523,-3.2712 53.1575,-3.2782 53.182,-3.311 53.2007,-3.3042 53.208,-3.3176 53.2105,-3.3224 53.2204,-3.3044 53.2329,-3.3338 53.2366,-3.3618 53.2531,-3.3296 53.2734,-3.357 53.2839,-3.356 53.2973,-3.3751 53.2916,-3.3943 53.3017,-3.3813 53.3158,-3.4005 53.3136,-3.3935 53.327,-3.3883 53.3232,-3.3682 53.3352,-3.3667 53.3514,-3.3634 53.352,-3.3108 53.3556,-3.3124 53.3423,-3.2983 53.3321,-3.2732 53.3206)),((-3.0849 53.2402,-3.0893 53.2447,-3.081 53.2447,-3.077 53.2427,-3.0759 53.241,-3.0815 53.2366,-3.0947 53.2448,-3.0849 53.2402)),((-3.0611 53.2527,-3.0744 53.2422,-3.1094 53.2576,-3.0856 53.2566,-3.086 53.2568,-3.0901 53.2588,-3.0611 53.2527)))"
"W09000007","W10000001","Alyn and Deeside","Alun a Glannau Dyfrdwy","CH54WY",86007,"SRID=4326;POLYGON((-2.9969 53.1299,-3.0291 53.1035,-3.0276 53.093,-3.0318 53.0974,-3.0387 53.0916,-3.0589 53.0853,-3.0762 53.0886,-3.1296 53.0724,-3.1518 53.0929,-3.1459 53.1039,-3.1725 53.1109,-3.1467 53.115,-3.133 53.1313,-3.0921 53.126,-3.08 53.1348,-3.0512 53.1282,-3.0629 53.1391,-3.0566 53.147,-3.0853 53.1526,-3.1029 53.1704,-3.094 53.1776,-3.1037 53.1817,-3.0788 53.2008,-3.1016 53.2126,-3.1008 53.2214,-3.0856 53.2334,-3.0661 53.2271,-3.0815 53.2366,-3.0759 53.241,-3.0722 53.2354,-3.0752 53.2411,-3.0593 53.2457,-3.0738 53.242,-3.0744 53.2422,-3.0611 53.2527,-3.0255 53.2483,-2.9495 53.2113,-2.9223 53.1893,-2.9278 53.1714,-2.9951 53.1542,-2.9795 53.1506,-2.9638 53.1327,-2.9969 53.1299))"
"W09000008","W10000001","Wrexham","Wrecsam","LL111ES",71250,"SRID=4326;POLYGON((-2.8795 53.018,-2.9175 53.0353,-2.9309 53.0285,-2.974 53.0356,-3.0024 53.0302,-3.0309 53.0402,-3.0284 53.0458,-3.0276 53.0463,-3.013 53.0524,-3.044 53.0856,-3.037 53.0892,-3.037 53.09,-3.0376 53.091,-3.0386 53.0914,-3.0387 53.0916,-3.0318 53.0974,-3.0276 53.093,-3.0291 53.1035,-2.9969 53.1299,-2.9638 53.1327,-2.9102 53.1126,-2.8811 53.1216,-2.9021 53.092,-2.8757 53.0815,-2.8818 53.0746,-2.8615 53.0608,-2.8726 53.0587,-2.861 53.0576,-2.8701 53.0453,-2.8619 53.0386,-2.8795 53.018))"
"W09000009","W10000001","Clwyd South","De Clwyd","LL144DT",72416,"SRID=4326;POLYGON((-2.861 53.0228,-2.8441 53.0177,-2.836 52.9971,-2.8033 52.9896,-2.7683 52.9948,-2.7599 52.9864,-2.7273 52.9839,-2.7353 52.9699,-2.7242 52.9571,-2.7285 52.9252,-2.7553 52.9246,-2.8004 52.8955,-2.841 52.9426,-2.8835 52.9466,-2.8874 52.9525,-2.9289 52.9387,-2.9598 52.9512,-2.975 52.969,-2.982 52.9592,-3.0097 52.9562,-3.0351 52.9294,-3.0765 52.9255,-3.096 52.9303,-3.1142 52.894,-3.1475 52.8902,-3.1744 52.9016,-3.2054 52.8931,-3.233 52.867,-3.2618 52.8666,-3.2913 52.8708,-3.3001 52.8817,-3.3662 52.8934,-3.3888 52.8761,-3.4672 52.8621,-3.483 52.8654,-3.4736 52.8713,-3.49 52.8958,-3.4651 52.9203,-3.4914 52.9337,-3.4467 52.9632,-3.4487 52.9738,-3.4368 52.9808,-3.458 52.9849,-3.455 52.9975,-3.4513 52.9934,-3.4246 53.0031,-3.3987 53.0031,-3.3791 52.9944,-3.3362 53.0113,-3.3354 53.002,-3.3024 53.0077,-3.289 52.9948,-3.193 53.0251,-3.1323 53.0211,-3.1478 53.0438,-3.1296 53.0724,-3.0762 53.0886,-3.0589 53.0853,-3.0387 53.0916,-3.0386 53.0914,-3.0376 53.091,-3.037 53.09,-3.037 53.0892,-3.044 53.0856,-3.013 53.0524,-3.0276 53.0463,-3.0284 53.0458,-3.0309 53.0402,-3.0024 53.0302,-2.974 53.0356,-2.9309 53.0285,-2.9175 53.0353,-2.8795 53.018,-2.8619 53.0386,-2.861 53.0228))"
"W09000010","W10000006","Dwyfor Meirionnydd","Dwyfor Meirionnydd","SY209SW",61731,"SRID=4326;MULTIPOLYGON(((-4.8016 52.7451,-4.7934 52.7685,-4.7799 52.7661,-4.7802 52.759,-4.8016 52.7451)),((-3.9916 53.014,-3.9633 53.0108,-3.8989 53.0206,-3.8878 53.0116,-3.8966 52.9949,-3.8494 52.9773,-3.8197 52.9504,-3.7704 52.959,-3.7207 52.9839,-3.683 52.9869,-3.6729 52.997,-3.6068 53.0121,-3.5995 53.0099,-3.6108 52.996,-3.583 52.9675,-3.5338 52.9737,-3.5045 52.9653,-3.458 52.9849,-3.4368 52.9808,-3.4487 52.9738,-3.4467 52.9632,-3.4914 52.9337,-3.4651 52.9203,-3.49 52.8958,-3.4736 52.8713,-3.483 52.8654,-3.5053 52.8419,-3.5667 52.8301,-3.5682 52.8229,-3.5865 52.8277,-3.5971 52.814,-3.6087 52.794,-3.5835 52.7386,-3.5993 52.7259,-3.602 52.705,-3.6564 52.6914,-3.6839 52.6938,-3.7094 52.6711,-3.7168 52.6788,-3.7439 52.6813,-3.7593 52.6694,-3.8081 52.6779,-3.8407 52.6509,-3.8346 52.633,-3.8504 52.6206,-3.8419 52.5998,-3.8749 52.5932,-3.8838 52.5771,-3.9153 52.5786,-3.9288 52.5714,-3.9264 52.5608,-3.9329 52.553,-3.9418 52.5578,-3.9416 52.5579,-3.9398 52.5607,-3.9605 52.5607,-4.0644 52.5414,-4.0659 52.543,-4.0999 52.5792,-4.1265 52.6074,-4.1286 52.6117,-4.095 52.6684,-4.0723 52.6798,-4.0573 52.6873,-4.0498 52.7154,-4.0514 52.7038,-4.0162 52.7206,-4.0115 52.7131,-3.9892 52.7361,-4.0232 52.7361,-4.0362 52.7211,-4.0589 52.7178,-4.0749 52.7336,-4.1006 52.759,-4.1506 52.8083,-4.135 52.8237,-4.1339 52.8242,-4.1396 52.8154,-4.1187 52.8303,-4.1079 52.8266,-4.1149 52.8321,-4.129 52.8271,-4.1285 52.8287,-4.119 52.8479,-4.1452 52.8937,-4.0865 52.9019,-4.083 52.9002,-4.0828 52.9003,-4.0686 52.9095,-4.083 52.9041,-4.0856 52.9032,-4.0831 52.9057,-4.0738 52.9152,-4.0718 52.917,-4.0591 52.916,-4.0477 52.9269,-4.0768 52.9227,-4.0837 52.9191,-4.1035 52.9089,-4.1192 52.919,-4.1104 52.92,-4.1286 52.9219,-4.1266 52.9291,-4.1521 52.9063,-4.2191 52.9191,-4.225 52.9179,-4.2276 52.9184,-4.2369 52.9156,-4.2613 52.9109,-4.2847 52.9171,-4.2638 52.9106,-4.3163 52.9087,-4.3266 52.8919,-4.3799 52.8954,-4.3872 52.8958,-4.3891 52.8945,-4.3977 52.8917,-4.3976 52.8883,-4.4033 52.8842,-4.4074 52.8917,-4.4151 52.8852,-4.3976 52.8824,-4.3976 52.8822,-4.4425 52.8756,-4.4504 52.8715,-4.4599 52.8696,-4.4671 52.8626,-4.4765 52.8577,-4.4703 52.8478,-4.4709 52.8474,-4.4964 52.8326,-4.4961 52.8314,-4.5061 52.825,-4.4974 52.8256,-4.4998 52.8123,-4.4899 52.808,-4.4864 52.795,-4.4865 52.7948,-4.5148 52.7929,-4.528 52.7777,-4.5426 52.7865,-4.5362 52.8003,-4.6015 52.8249,-4.644 52.7998,-4.6613 52.8061,-4.6644 52.8048,-4.6656 52.8051,-4.6773 52.7989,-4.6884 52.7938,-4.7209 52.8028,-4.7323 52.7818,-4.7667 52.7955,-4.7463 52.8151,-4.7225 52.8363,-4.7262 52.8535,-4.6961 52.8594,-4.678 52.8777,-4.6688 52.8801,-4.6509 52.905,-4.6498 52.9062,-4.6497 52.9062,-4.6321 52.906,-4.6151 52.9238,-4.5999 52.9289,-4.5706 52.9389,-4.5674 52.9485,-4.5629 52.9392,-4.561 52.9391,-4.5601 52.9377,-4.5449 52.9387,-4.5311 52.9383,-4.5275 52.9398,-4.5196 52.9403,-4.5012 52.9504,-4.4993 52.9512,-4.4981 52.9521,-4.4716 52.9667,-4.4375 52.9983,-4.432 52.9986,-4.4102 52.998,-4.3864 53.0128,-4.3538 53.0332,-4.3428 53.0622,-4.3407 53.067,-4.3221 53.0653,-4.3194 53.0412,-4.2938 53.0429,-4.2857 53.0093,-4.2603 53.0285,-4.229 53.0175,-4.1856 53.0395,-4.171 53.04,-4.1598 53.0308,-4.0981 53.0337,-4.0791 53.0438,-4.0783 53.0742,-4.0292 53.0756,-4.0136 53.0897,-3.9867 53.0842,-3.9913 53.0765,-3.9771 53.0689,-3.9972 53.0376,-3.9916 53.014)))"
